"Date","Home","Away","Result","Score_Home","Score_Away","Odds_Home","Odds_Draw","Odds_Away","Division","Season","Coming5","IsPlayed"
2017-08-15,"Birmingham","Bolton","D",NA,NA,1.89,3.36,4.38,"Championship",2017,0,1
2017-08-15,"Brentford","Bristol City","D",NA,NA,2.02,3.72,3.42,"Championship",2017,0,1
2017-08-15,"Cardiff","Sheffield United","H",NA,NA,1.88,3.46,4.29,"Championship",2017,0,1
2017-08-15,"Derby","Preston","H",NA,NA,1.98,3.35,4,"Championship",2017,0,1
2017-08-15,"Hull","Wolves","A",NA,NA,2.58,3.16,2.86,"Championship",2017,0,1
2017-08-15,"Leeds","Fulham","D",NA,NA,2.46,3.37,2.85,"Championship",2017,0,1
2017-08-15,"Middlesbrough","Burton","H",NA,NA,1.46,4.28,7.44,"Championship",2017,0,1
2017-08-15,"Millwall","Ipswich","A",NA,NA,2.05,3.28,3.83,"Championship",2017,0,1
2017-08-15,"Reading","Aston Villa","H",NA,NA,2.8,3.1,2.67,"Championship",2017,0,1
2017-08-14,"Elfsborg","Goteborg","A",NA,NA,2.02,3.59,3.45,"Allsvenskan",2017,0,1
2017-08-14,"Hacken","Sundsvall","H",NA,NA,1.54,4.06,6.03,"Allsvenskan",2017,0,1
2017-08-13,"AIK","AFC Eskilstuna","D",NA,NA,1.25,5.64,12.02,"Allsvenskan",2017,0,1
2017-08-13,"Hammarby","Ostersunds","D",NA,NA,2.75,3.15,2.61,"Allsvenskan",2017,0,1
2017-08-13,"Jonkopings","Orebro","A",NA,NA,2.41,3.28,2.91,"Allsvenskan",2017,0,1
2017-08-13,"Norrkoping","Djurgarden","A",NA,NA,2.65,3.39,2.57,"Allsvenskan",2017,0,1
2017-08-13,"Norwich","Sunderland","A",NA,NA,1.82,3.64,4.31,"Championship",2017,0,1
2017-08-13,"Man United","West Ham","H",NA,NA,1.31,5.29,10.74,"Premier League",2017,0,1
2017-08-13,"Newcastle","Tottenham","A",NA,NA,5.16,3.87,1.69,"Premier League",2017,0,1
2017-08-12,"Halmstad","Sirius","A",NA,NA,2.37,3.29,2.97,"Allsvenskan",2017,0,1
2017-08-12,"Barnsley","Ipswich","A",NA,NA,2.47,3.2,2.92,"Championship",2017,0,1
2017-08-12,"Birmingham","Bristol City","H",NA,NA,2.49,3.25,2.87,"Championship",2017,0,1
2017-08-12,"Brentford","Nott'm Forest","A",NA,NA,1.83,3.72,4.14,"Championship",2017,0,1
2017-08-12,"Cardiff","Aston Villa","H",NA,NA,2.6,3.08,2.87,"Championship",2017,0,1
2017-08-12,"Derby","Wolves","A",NA,NA,2.33,3.1,3.28,"Championship",2017,0,1
2017-08-12,"Hull","Burton","H",NA,NA,1.63,3.76,5.59,"Championship",2017,0,1
2017-08-12,"Leeds","Preston","D",NA,NA,2.04,3.34,3.76,"Championship",2017,0,1
2017-08-12,"Middlesbrough","Sheffield United","H",NA,NA,1.87,3.36,4.5,"Championship",2017,0,1
2017-08-12,"Millwall","Bolton","D",NA,NA,2.02,3.35,3.79,"Championship",2017,0,1
2017-08-12,"Reading","Fulham","D",NA,NA,3.46,3.59,2.05,"Championship",2017,0,1
2017-08-12,"Sheffield Weds","QPR","D",NA,NA,1.81,3.5,4.56,"Championship",2017,0,1
2017-08-12,"Brighton","Man City","A",NA,NA,10.1,5.25,1.32,"Premier League",2017,0,1
2017-08-12,"Chelsea","Burnley","A",NA,NA,1.24,6.06,13.67,"Premier League",2017,0,1
2017-08-12,"Crystal Palace","Huddersfield","A",NA,NA,1.81,3.5,4.82,"Premier League",2017,0,1
2017-08-12,"Everton","Stoke","H",NA,NA,1.69,3.69,5.5,"Premier League",2017,0,1
2017-08-12,"Southampton","Swansea","D",NA,NA,1.61,3.84,5.98,"Premier League",2017,0,1
2017-08-12,"Watford","Liverpool","D",NA,NA,5.75,4.06,1.6,"Premier League",2017,0,1
2017-08-12,"West Brom","Bournemouth","H",NA,NA,2.43,3.19,3.11,"Premier League",2017,0,1
2017-08-11,"Malmo FF","Kalmar","H",NA,NA,1.36,4.77,8.55,"Allsvenskan",2017,0,1
2017-08-11,"Arsenal","Leicester","H",NA,NA,1.51,4.43,6.44,"Premier League",2017,0,1
2017-08-10,"Goteborg","AIK","H",NA,NA,2.75,3.21,2.58,"Allsvenskan",2017,0,1
2017-08-09,"Heidenheim","Erzgebirge Aue","H",NA,NA,1.93,3.22,4.12,"2.Bundesliga",2017,0,1
2017-08-07,"St Pauli","Dresden","D",NA,NA,1.91,3.38,3.92,"2.Bundesliga",2017,0,1
2017-08-07,"Djurgarden","Malmo FF","A",NA,NA,3.08,3.4,2.25,"Allsvenskan",2017,0,1
2017-08-07,"Norrkoping","AFC Eskilstuna","H",NA,NA,1.28,5.71,9.44,"Allsvenskan",2017,0,1
2017-08-06,"Erzgebirge Aue","Fortuna Dusseldorf","A",NA,NA,2.61,3.06,2.75,"2.Bundesliga",2017,0,1
2017-08-06,"Greuther Furth","Bielefeld","A",NA,NA,2.27,3.14,3.18,"2.Bundesliga",2017,0,1
2017-08-06,"Regensburg","Nurnberg","A",NA,NA,3.04,3.27,2.28,"2.Bundesliga",2017,0,1
2017-08-06,"Hammarby","Hacken","A",NA,NA,2.4,3.25,2.94,"Allsvenskan",2017,0,1
2017-08-06,"Kalmar","Goteborg","H",NA,NA,2.74,3.25,2.56,"Allsvenskan",2017,0,1
2017-08-06,"Sundsvall","Ostersunds","D",NA,NA,3.84,3.51,1.93,"Allsvenskan",2017,0,1
2017-08-06,"Sirius","AIK","A",NA,NA,3.34,3.12,2.26,"Allsvenskan",2017,0,1
2017-08-06,"Bolton","Leeds","A",NA,NA,2.82,3.22,2.53,"Championship",2017,0,1
2017-08-05,"Braunschweig","Heidenheim","H",NA,NA,2.04,3.26,3.63,"2.Bundesliga",2017,0,1
2017-08-05,"Duisburg","Bochum","D",NA,NA,2.4,3.21,2.92,"2.Bundesliga",2017,0,1
2017-08-05,"Halmstad","Jonkopings","H",NA,NA,2.32,3.12,3.21,"Allsvenskan",2017,0,1
2017-08-05,"Orebro","Elfsborg","D",NA,NA,2.57,3.52,2.56,"Allsvenskan",2017,0,1
2017-08-05,"Aston Villa","Hull","D",NA,NA,2.05,3.3,3.78,"Championship",2017,0,1
2017-08-05,"Bristol City","Barnsley","H",NA,NA,1.83,3.65,4.26,"Championship",2017,0,1
2017-08-05,"Burton","Cardiff","A",NA,NA,3.02,3.17,2.44,"Championship",2017,0,1
2017-08-05,"Fulham","Norwich","D",NA,NA,2.03,3.6,3.51,"Championship",2017,0,1
2017-08-05,"Ipswich","Birmingham","H",NA,NA,2.44,3.19,3.02,"Championship",2017,0,1
2017-08-05,"Preston","Sheffield Weds","H",NA,NA,2.92,3.18,2.5,"Championship",2017,0,1
2017-08-05,"QPR","Reading","H",NA,NA,2.42,3.28,2.96,"Championship",2017,0,1
2017-08-05,"Sheffield United","Brentford","H",NA,NA,2.15,3.53,3.25,"Championship",2017,0,1
2017-08-05,"Wolves","Middlesbrough","H",NA,NA,2.57,3.16,2.85,"Championship",2017,0,1
2017-08-04,"Kaiserslautern","Darmstadt","D",NA,NA,2.69,3.03,2.72,"2.Bundesliga",2017,0,1
2017-08-04,"Sandhausen","Ingolstadt","H",NA,NA,3.23,3.12,2.28,"2.Bundesliga",2017,0,1
2017-08-04,"Union Berlin","Holstein Kiel","H",NA,NA,1.77,3.52,4.52,"2.Bundesliga",2017,0,1
2017-08-04,"Nott'm Forest","Millwall","H",NA,NA,2.01,3.42,3.8,"Championship",2017,0,1
2017-08-04,"Sunderland","Derby","D",NA,NA,2.61,3.16,2.84,"Championship",2017,0,1
2017-07-31,"Fortuna Dusseldorf","Braunschweig","D",NA,NA,2.41,3.15,2.93,"2.Bundesliga",2016,0,1
2017-07-31,"AFC Eskilstuna","Djurgarden","A",NA,NA,6.98,4.51,1.43,"Allsvenskan",2017,0,1
2017-07-31,"Hacken","Orebro","D",NA,NA,1.68,3.91,4.72,"Allsvenskan",2017,0,1
2017-07-30,"Dresden","Duisburg","H",NA,NA,2.13,3.28,3.36,"2.Bundesliga",2016,0,1
2017-07-30,"Holstein Kiel","Sandhausen","D",NA,NA,2.11,3.18,3.53,"2.Bundesliga",2016,0,1
2017-07-30,"Nurnberg","Kaiserslautern","H",NA,NA,2.18,3.2,3.32,"2.Bundesliga",2016,0,1
2017-07-30,"Goteborg","Norrkoping","H",NA,NA,2.26,3.42,3.02,"Allsvenskan",2017,0,1
2017-07-30,"Ostersunds","Halmstad","D",NA,NA,1.47,4.29,6.64,"Allsvenskan",2017,0,1
2017-07-30,"AIK","Kalmar","A",NA,NA,1.52,3.94,6.6,"Allsvenskan",2017,0,1
2017-07-29,"Bielefeld","Regensburg","H",NA,NA,2.04,3.31,3.56,"2.Bundesliga",2016,0,1
2017-07-29,"Darmstadt","Greuther Furth","H",NA,NA,2.11,3.24,3.47,"2.Bundesliga",2016,0,1
2017-07-29,"Ingolstadt","Union Berlin","A",NA,NA,2.14,3.26,3.35,"2.Bundesliga",2016,0,1
2017-07-29,"Elfsborg","Sirius","A",NA,NA,1.6,4.16,5.09,"Allsvenskan",2017,0,1
2017-07-29,"Jonkopings","Hammarby","H",NA,NA,2.85,3.15,2.53,"Allsvenskan",2017,0,1
2017-07-29,"Sundsvall","Malmo FF","A",NA,NA,6.93,4.36,1.45,"Allsvenskan",2017,0,1
2017-07-28,"Bochum","St Pauli","A",NA,NA,2.4,3.24,2.89,"2.Bundesliga",2016,0,1
2017-07-24,"Hammarby","Elfsborg","H",NA,NA,2.37,3.5,2.8,"Allsvenskan",2017,0,1
2017-07-23,"Djurgarden","Ostersunds","H",NA,NA,1.85,3.53,4.19,"Allsvenskan",2017,0,1
2017-07-23,"Goteborg","Orebro","D",NA,NA,1.65,3.96,4.86,"Allsvenskan",2017,0,1
2017-07-23,"Kalmar","AFC Eskilstuna","H",NA,NA,1.75,3.6,4.65,"Allsvenskan",2017,0,1
2017-07-22,"Halmstad","Sundsvall","D",NA,NA,1.98,3.33,3.87,"Allsvenskan",2017,0,1
2017-07-22,"Malmo FF","Jonkopings","H",NA,NA,1.33,4.94,9.19,"Allsvenskan",2017,0,1
2017-07-22,"Sirius","Hacken","D",NA,NA,2.71,3.29,2.54,"Allsvenskan",2017,0,1
2017-07-17,"Elfsborg","Hammarby","H",NA,NA,1.89,3.75,3.74,"Allsvenskan",2017,0,1
2017-07-17,"Jonkopings","Hacken","A",NA,NA,3.14,3.22,2.3,"Allsvenskan",2017,0,1
2017-07-16,"Orebro","Goteborg","H",NA,NA,3.25,3.48,2.13,"Allsvenskan",2017,0,1
2017-07-16,"AIK","Norrkoping","H",NA,NA,1.96,3.45,3.77,"Allsvenskan",2017,0,1
2017-07-16,"Ostersunds","Djurgarden","H",NA,NA,2.66,3.33,2.58,"Allsvenskan",2017,0,1
2017-07-15,"AFC Eskilstuna","Kalmar","H",NA,NA,2.68,3.21,2.62,"Allsvenskan",2017,0,1
2017-07-15,"Malmo FF","Sirius","D",NA,NA,1.47,4.35,6.62,"Allsvenskan",2017,0,1
2017-07-15,"Sundsvall","Halmstad","H",NA,NA,2.32,3.23,3.09,"Allsvenskan",2017,0,1
2017-07-10,"Djurgarden","Sundsvall","H",NA,NA,1.32,5.16,9.25,"Allsvenskan",2017,0,1
2017-07-10,"Goteborg","Halmstad","D",NA,NA,1.49,4.2,6.52,"Allsvenskan",2017,0,1
2017-07-09,"Norrkoping","Elfsborg","A",NA,NA,1.77,3.88,4.17,"Allsvenskan",2017,0,1
2017-07-09,"Kalmar","AIK","A",NA,NA,4.34,3.46,1.83,"Allsvenskan",2017,0,1
2017-07-09,"Ostersunds","Jonkopings","D",NA,NA,1.46,4.15,7.13,"Allsvenskan",2017,0,1
2017-07-08,"Hammarby","Orebro","H",NA,NA,1.66,3.87,4.94,"Allsvenskan",2017,0,1
2017-07-08,"Sirius","AFC Eskilstuna","H",NA,NA,1.47,4.34,6.58,"Allsvenskan",2017,0,1
2017-07-08,"Hacken","Malmo FF","A",NA,NA,2.84,3.28,2.45,"Allsvenskan",2017,0,1
2017-07-03,"Djurgarden","Kalmar","H",NA,NA,1.37,4.61,8.49,"Allsvenskan",2017,0,1
2017-07-03,"Hacken","Hammarby","H",NA,NA,1.8,3.66,4.28,"Allsvenskan",2017,0,1
2017-07-02,"Jonkopings","Goteborg","A",NA,NA,3.21,3.2,2.27,"Allsvenskan",2017,0,1
2017-07-02,"AIK","Ostersunds","D",NA,NA,2.21,3.19,3.35,"Allsvenskan",2017,0,1
2017-07-02,"Orebro","Norrkoping","H",NA,NA,3.66,3.67,1.93,"Allsvenskan",2017,0,1
2017-07-01,"Malmo FF","AFC Eskilstuna","H",NA,NA,1.13,8.38,18.72,"Allsvenskan",2017,0,1
2017-07-01,"Sundsvall","Sirius","A",NA,NA,2.86,3.17,2.5,"Allsvenskan",2017,0,1
2017-07-01,"Halmstad","Elfsborg","D",NA,NA,3.12,3.45,2.21,"Allsvenskan",2017,0,1
2017-06-04,"AFC Eskilstuna","AIK","A",NA,NA,5.99,3.69,1.6,"Allsvenskan",2017,0,1
2017-06-04,"Hammarby","Djurgarden","H",NA,NA,3.49,3.34,2.09,"Allsvenskan",2017,0,1
2017-06-04,"Norrkoping","Goteborg","H",NA,NA,2.12,3.45,3.29,"Allsvenskan",2017,0,1
2017-06-04,"Sirius","Halmstad","H",NA,NA,1.71,3.7,4.75,"Allsvenskan",2017,0,1
2017-06-03,"Kalmar","Orebro","A",NA,NA,1.95,3.51,3.73,"Allsvenskan",2017,0,1
2017-06-03,"Ostersunds","Sundsvall","H",NA,NA,1.28,5.41,10.43,"Allsvenskan",2017,0,1
2017-06-03,"Jonkopings","Malmo FF","A",NA,NA,5.03,3.67,1.68,"Allsvenskan",2017,0,1
2017-06-02,"Elfsborg","Hacken","H",NA,NA,2.26,3.52,2.95,"Allsvenskan",2017,0,1
2017-06-01,"Norrkoping","AIK","D",NA,NA,1.93,3.49,3.85,"Allsvenskan",2017,0,1
2017-05-29,"AIK","Malmo FF","A",NA,NA,2.89,3.12,2.5,"Allsvenskan",2017,0,1
2017-05-29,"Hacken","Ostersunds","A",NA,NA,2.36,3.37,2.89,"Allsvenskan",2017,0,1
2017-05-29,"Orebro","Sirius","H",NA,NA,2.54,3.23,2.77,"Allsvenskan",2017,0,1
2017-05-28,"Hammarby","Jonkopings","D",NA,NA,1.86,3.35,4.38,"Allsvenskan",2017,0,1
2017-05-28,"Goteborg","Elfsborg","D",NA,NA,1.77,3.86,4.13,"Allsvenskan",2017,0,1
2017-05-27,"Djurgarden","AFC Eskilstuna","H",NA,NA,1.27,5.73,9.99,"Allsvenskan",2017,0,1
2017-05-27,"Kalmar","Sundsvall","H",NA,NA,1.93,3.38,3.99,"Allsvenskan",2017,0,1
2017-05-27,"Norrkoping","Halmstad","H",NA,NA,1.34,5.08,8.22,"Allsvenskan",2017,0,1
2017-05-22,"Djurgarden","AIK","A",NA,NA,2.02,3.32,3.7,"Allsvenskan",2017,0,1
2017-05-22,"Elfsborg","Jonkopings","H",NA,NA,1.87,3.64,3.93,"Allsvenskan",2017,0,1
2017-05-22,"Sundsvall","Goteborg","A",NA,NA,4.44,3.63,1.77,"Allsvenskan",2017,0,1
2017-05-21,"Bochum","St Pauli","A",NA,NA,2.44,3.25,2.8,"2.Bundesliga",2016,0,1
2017-05-21,"Braunschweig","Karlsruhe","H",NA,NA,1.3,5.16,9.12,"2.Bundesliga",2016,0,1
2017-05-21,"Dresden","Bielefeld","D",NA,NA,3.05,3.49,2.19,"2.Bundesliga",2016,0,1
2017-05-21,"Fortuna Dusseldorf","Erzgebirge Aue","H",NA,NA,3.86,1.74,3.91,"2.Bundesliga",2016,0,1
2017-05-21,"Greuther Furth","Union Berlin","A",NA,NA,2.17,3.35,3.19,"2.Bundesliga",2016,0,1
2017-05-21,"Heidenheim","Munich 1860","H",NA,NA,3.88,3.5,1.9,"2.Bundesliga",2016,0,1
2017-05-21,"Kaiserslautern","Nurnberg","H",NA,NA,1.73,3.55,4.72,"2.Bundesliga",2016,0,1
2017-05-21,"Sandhausen","Hannover","D",NA,NA,5.15,3.7,1.64,"2.Bundesliga",2016,0,1
2017-05-21,"Stuttgart","Wurzburger Kickers","H",NA,NA,1.35,4.85,8.06,"2.Bundesliga",2016,0,1
2017-05-21,"AFC Eskilstuna","Hacken","D",NA,NA,5.68,4.15,1.54,"Allsvenskan",2017,0,1
2017-05-21,"Sirius","Hammarby","D",NA,NA,2.09,3.35,3.45,"Allsvenskan",2017,0,1
2017-05-21,"Malmo FF","Norrkoping","A",NA,NA,1.68,3.93,4.69,"Allsvenskan",2017,0,1
2017-05-21,"Arsenal","Everton","H",NA,NA,1.42,4.96,7.29,"Premier League",2016,0,1
2017-05-21,"Burnley","West Ham","A",NA,NA,2.38,3.4,3.02,"Premier League",2016,0,1
2017-05-21,"Chelsea","Sunderland","H",NA,NA,1.15,8.17,19.89,"Premier League",2016,0,1
2017-05-21,"Hull","Tottenham","A",NA,NA,6.09,4.4,1.53,"Premier League",2016,0,1
2017-05-21,"Leicester","Bournemouth","D",NA,NA,1.92,3.67,3.95,"Premier League",2016,0,1
2017-05-21,"Liverpool","Middlesbrough","H",NA,NA,1.12,8.61,26.64,"Premier League",2016,0,1
2017-05-21,"Man United","Crystal Palace","H",NA,NA,2.48,3.31,2.94,"Premier League",2016,0,1
2017-05-21,"Southampton","Stoke","A",NA,NA,1.77,3.79,4.6,"Premier League",2016,0,1
2017-05-21,"Swansea","West Brom","H",NA,NA,2.06,3.51,3.63,"Premier League",2016,0,1
2017-05-21,"Watford","Man City","A",NA,NA,10.78,5.9,1.28,"Premier League",2016,0,1
2017-05-20,"Ostersunds","Kalmar","H",NA,NA,1.35,4.94,8.39,"Allsvenskan",2017,0,1
2017-05-20,"Halmstad","Orebro","D",NA,NA,2.24,3.33,3.14,"Allsvenskan",2017,0,1
2017-05-20,"Bayern Munich","Freiburg","H",NA,NA,1.18,7.81,13.65,"Bundesliga",2016,0,1
2017-05-20,"Dortmund","Werder Bremen","H",NA,NA,1.2,7.57,11.32,"Bundesliga",2016,0,1
2017-05-20,"Ein Frankfurt","RB Leipzig","D",NA,NA,3.76,3.73,1.93,"Bundesliga",2016,0,1
2017-05-20,"FC Koln","Mainz","H",NA,NA,1.62,4.11,5.33,"Bundesliga",2016,0,1
2017-05-20,"Hamburg","Wolfsburg","H",NA,NA,2.62,3.33,2.69,"Bundesliga",2016,0,1
2017-05-20,"Hertha","Leverkusen","A",NA,NA,2.02,3.47,3.73,"Bundesliga",2016,0,1
2017-05-20,"Hoffenheim","Augsburg","D",NA,NA,1.35,5.38,7.89,"Bundesliga",2016,0,1
2017-05-20,"Ingolstadt","Schalke 04","D",NA,NA,2.62,3.52,2.57,"Bundesliga",2016,0,1
2017-05-20,"M'gladbach","Darmstadt","D",NA,NA,1.34,5.4,8.51,"Bundesliga",2016,0,1
2017-05-18,"Elfsborg","AFC Eskilstuna","H",NA,NA,1.35,5.22,7.6,"Allsvenskan",2017,0,1
2017-05-18,"Jonkopings","Djurgarden","D",NA,NA,3.22,3.12,2.3,"Allsvenskan",2017,0,1
2017-05-18,"Leicester","Tottenham","A",NA,NA,4.29,3.69,1.85,"Premier League",2016,0,1
2017-05-17,"Hacken","Halmstad","H",NA,NA,1.35,5.02,7.99,"Allsvenskan",2017,0,1
2017-05-17,"Hammarby","Malmo FF","D",NA,NA,3.42,3.44,2.07,"Allsvenskan",2017,0,1
2017-05-17,"Orebro","Sundsvall","A",NA,NA,1.83,3.57,4.2,"Allsvenskan",2017,0,1
2017-05-17,"Ostersunds","Sirius","D",NA,NA,1.75,3.75,4.38,"Allsvenskan",2017,0,1
2017-05-17,"Southampton","Man United","D",NA,NA,2.67,3.27,2.75,"Premier League",2016,0,1
2017-05-16,"Norrkoping","Kalmar","H",NA,NA,1.35,5.07,7.84,"Allsvenskan",2017,0,1
2017-05-16,"Arsenal","Sunderland","H",NA,NA,1.09,11.35,26.47,"Premier League",2016,0,1
2017-05-16,"Man City","West Brom","H",NA,NA,1.13,9.1,22.37,"Premier League",2016,0,1
2017-05-15,"Djurgarden","Goteborg","H",NA,NA,2.03,3.44,3.51,"Allsvenskan",2017,0,1
2017-05-15,"Chelsea","Watford","H",NA,NA,1.24,6.54,12.61,"Premier League",2016,0,1
2017-05-14,"Bielefeld","Braunschweig","H",NA,NA,2.65,3.29,2.57,"2.Bundesliga",2016,0,1
2017-05-14,"Erzgebirge Aue","Kaiserslautern","H",NA,NA,2.24,3.13,3.27,"2.Bundesliga",2016,0,1
2017-05-14,"Hannover","Stuttgart","H",NA,NA,2.44,3.3,2.78,"2.Bundesliga",2016,0,1
2017-05-14,"Karlsruhe","Dresden","A",NA,NA,2.9,3.26,2.36,"2.Bundesliga",2016,0,1
2017-05-14,"Munich 1860","Bochum","A",NA,NA,1.63,3.72,5.21,"2.Bundesliga",2016,0,1
2017-05-14,"Nurnberg","Fortuna Dusseldorf","A",NA,NA,2.8,3.18,2.48,"2.Bundesliga",2016,0,1
2017-05-14,"St Pauli","Greuther Furth","D",NA,NA,1.86,3.48,4.07,"2.Bundesliga",2016,0,1
2017-05-14,"Union Berlin","Heidenheim","A",NA,NA,1.5,4.12,6.19,"2.Bundesliga",2016,0,1
2017-05-14,"Wurzburger Kickers","Sandhausen","A",NA,NA,2.03,3.12,3.88,"2.Bundesliga",2016,0,1
2017-05-14,"Halmstad","Hammarby","A",NA,NA,2.86,3.23,2.45,"Allsvenskan",2017,0,1
2017-05-14,"Sundsvall","Jonkopings","D",NA,NA,2.98,3.17,2.4,"Allsvenskan",2017,0,1
2017-05-14,"Malmo FF","Ostersunds","H",NA,NA,1.7,3.67,4.97,"Allsvenskan",2017,0,1
2017-05-14,"Sirius","Elfsborg","H",NA,NA,2.19,3.48,3.1,"Allsvenskan",2017,0,1
2017-05-14,"Crystal Palace","Hull","H",NA,NA,2.06,3.5,3.68,"Premier League",2016,0,1
2017-05-14,"Tottenham","Man United","H",NA,NA,1.7,3.85,5.14,"Premier League",2016,0,1
2017-05-14,"West Ham","Liverpool","A",NA,NA,5.26,3.94,1.67,"Premier League",2016,0,1
2017-05-13,"AIK","Orebro","H",NA,NA,1.47,4.1,7.13,"Allsvenskan",2017,0,1
2017-05-13,"Kalmar","Hacken","A",NA,NA,3.36,3.4,2.11,"Allsvenskan",2017,0,1
2017-05-13,"Augsburg","Dortmund","D",NA,NA,6.06,4.6,1.5,"Bundesliga",2016,0,1
2017-05-13,"Darmstadt","Hertha","A",NA,NA,3.44,3.39,2.15,"Bundesliga",2016,0,1
2017-05-13,"Freiburg","Ingolstadt","D",NA,NA,2.35,3.51,2.94,"Bundesliga",2016,0,1
2017-05-13,"Leverkusen","FC Koln","D",NA,NA,2.14,3.52,3.35,"Bundesliga",2016,0,1
2017-05-13,"Mainz","Ein Frankfurt","H",NA,NA,1.72,3.8,4.88,"Bundesliga",2016,0,1
2017-05-13,"RB Leipzig","Bayern Munich","A",NA,NA,3.76,3.73,1.94,"Bundesliga",2016,0,1
2017-05-13,"Schalke 04","Hamburg","D",NA,NA,2.02,3.61,3.6,"Bundesliga",2016,0,1
2017-05-13,"Werder Bremen","Hoffenheim","A",NA,NA,2.6,3.69,2.54,"Bundesliga",2016,0,1
2017-05-13,"Wolfsburg","M'gladbach","D",NA,NA,1.97,3.7,3.68,"Bundesliga",2016,0,1
2017-05-13,"Bournemouth","Burnley","H",NA,NA,1.92,3.63,4.04,"Premier League",2016,0,1
2017-05-13,"Man City","Leicester","H",NA,NA,1.23,6.56,12.42,"Premier League",2016,0,1
2017-05-13,"Middlesbrough","Southampton","A",NA,NA,3.84,3.52,2,"Premier League",2016,0,1
2017-05-13,"Stoke","Arsenal","A",NA,NA,4.56,4,1.74,"Premier League",2016,0,1
2017-05-13,"Sunderland","Swansea","A",NA,NA,4.04,3.68,1.91,"Premier League",2016,0,1
2017-05-12,"AFC Eskilstuna","Norrkoping","A",NA,NA,5.36,4.24,1.56,"Allsvenskan",2017,0,1
2017-05-12,"Everton","Watford","H",NA,NA,1.45,4.57,7.39,"Premier League",2016,0,1
2017-05-12,"West Brom","Chelsea","A",NA,NA,9.46,4.94,1.36,"Premier League",2016,0,1
2017-05-10,"Southampton","Arsenal","A",NA,NA,3.58,3.64,2.04,"Premier League",2016,0,1
2017-05-08,"Braunschweig","Union Berlin","H",NA,NA,2.24,3.2,3.17,"2.Bundesliga",2016,0,1
2017-05-08,"Elfsborg","Malmo FF","A",NA,NA,3.35,3.55,2.06,"Allsvenskan",2017,0,1
2017-05-08,"Norrkoping","Sundsvall","D",NA,NA,1.33,5.2,8.53,"Allsvenskan",2017,0,1
2017-05-08,"Chelsea","Middlesbrough","H",NA,NA,1.16,7.94,18.77,"Premier League",2016,0,1
2017-05-07,"Bochum","Bielefeld","D",NA,NA,2.49,3.34,2.68,"2.Bundesliga",2016,0,1
2017-05-07,"Greuther Furth","Karlsruhe","A",NA,NA,1.61,3.72,5.49,"2.Bundesliga",2016,0,1
2017-05-07,"Stuttgart","Erzgebirge Aue","H",NA,NA,1.39,4.51,7.63,"2.Bundesliga",2016,0,1
2017-05-07,"Goteborg","Kalmar","H",NA,NA,1.54,3.93,6.28,"Allsvenskan",2017,0,1
2017-05-07,"Ostersunds","Hammarby","H",NA,NA,1.75,3.67,4.53,"Allsvenskan",2017,0,1
2017-05-07,"Jonkopings","AFC Eskilstuna","H",NA,NA,1.67,3.62,5.33,"Allsvenskan",2017,0,1
2017-05-07,"Orebro","Djurgarden","A",NA,NA,3.21,3.46,2.15,"Allsvenskan",2017,0,1
2017-05-07,"Freiburg","Schalke 04","H",NA,NA,3.38,3.51,2.13,"Bundesliga",2016,0,1
2017-05-07,"Hamburg","Mainz","D",NA,NA,2.36,3.39,3.02,"Bundesliga",2016,0,1
2017-05-07,"Aston Villa","Brighton","D",NA,NA,3.58,3.37,2.08,"Championship",2016,0,1
2017-05-07,"Brentford","Blackburn","A",NA,NA,2.44,3.61,2.72,"Championship",2016,0,1
2017-05-07,"Bristol City","Birmingham","A",NA,NA,2.58,3.44,2.64,"Championship",2016,0,1
2017-05-07,"Burton","Reading","A",NA,NA,2.23,3.42,3.18,"Championship",2016,0,1
2017-05-07,"Huddersfield","Cardiff","A",NA,NA,2.16,3.39,3.34,"Championship",2016,0,1
2017-05-07,"Newcastle","Barnsley","H",NA,NA,1.25,6.05,11.37,"Championship",2016,0,1
2017-05-07,"Norwich","QPR","H",NA,NA,1.67,4.01,4.86,"Championship",2016,0,1
2017-05-07,"Nott'm Forest","Ipswich","H",NA,NA,1.58,4.1,5.5,"Championship",2016,0,1
2017-05-07,"Rotherham","Derby","D",NA,NA,4.87,3.74,1.71,"Championship",2016,0,1
2017-05-07,"Sheffield Weds","Fulham","A",NA,NA,2.35,3.38,3,"Championship",2016,0,1
2017-05-07,"Wigan","Leeds","D",NA,NA,2.99,3.35,2.35,"Championship",2016,0,1
2017-05-07,"Wolves","Preston","H",NA,NA,2.05,3.49,3.52,"Championship",2016,0,1
2017-05-07,"Arsenal","Man United","H",NA,NA,1.92,3.61,4.11,"Premier League",2016,0,1
2017-05-07,"Liverpool","Southampton","D",NA,NA,1.59,4.13,5.79,"Premier League",2016,0,1
2017-05-06,"Fortuna Dusseldorf","Wurzburger Kickers","D",NA,NA,2.12,3.11,3.59,"2.Bundesliga",2016,0,1
2017-05-06,"Sandhausen","Nurnberg","A",NA,NA,2.49,2.99,2.95,"2.Bundesliga",2016,0,1
2017-05-06,"Halmstad","AIK","A",NA,NA,4.72,3.38,1.8,"Allsvenskan",2017,0,1
2017-05-06,"Bayern Munich","Darmstadt","H",NA,NA,1.07,12.18,34.19,"Bundesliga",2016,0,1
