"Date","Home","Away","Result","Score_Home","Score_Away","Odds_Home","Odds_Draw","Odds_Away","Division","Season","Coming5","IsPlayed"
2019-02-03,"Stuttgart","Freiburg","D",2,2,2.25,3.4,3.25,"Bundesliga",2019,0,1
2019-02-03,"Augsburg","Mainz","H",3,0,2.3,3.5,2.9,"Bundesliga",2019,0,1
2019-02-03,"Man City","Arsenal","H",3,1,1.25,7.5,11,"Premier League",2019,0,1
2019-02-03,"Leicester","Man United","A",0,1,3.75,3.6,2.1,"Premier League",2019,0,1
2019-02-02,"Schalke 04","M'gladbach","A",0,2,2.3,3.5,3.1,"Bundesliga",2019,0,1
2019-02-02,"Ein Frankfurt","Dortmund","D",1,1,3.1,3.8,2.1,"Bundesliga",2019,0,1
2019-02-02,"Hertha","Wolfsburg","A",0,1,2.3,3.4,3.1,"Bundesliga",2019,0,1
2019-02-02,"Hoffenheim","Fortuna Dusseldorf","D",1,1,1.4,5.25,7,"Bundesliga",2019,0,1
2019-02-02,"Nurnberg","Werder Bremen","D",1,1,4,4,1.83,"Bundesliga",2019,0,1
2019-02-02,"Leverkusen","Bayern Munich","H",3,1,5.25,4.5,1.57,"Bundesliga",2019,0,1
2019-02-02,"Leeds","Norwich","A",1,3,1.9,3.9,4.1,"Championship",2019,0,1
2019-02-02,"Millwall","Rotherham","D",0,0,1.72,3.7,5.75,"Championship",2019,0,1
2019-02-02,"West Brom","Middlesbrough","A",2,3,2.2,3.25,3.8,"Championship",2019,0,1
2019-02-02,"Ipswich","Sheffield Weds","A",0,1,3.2,3.2,2.5,"Championship",2019,0,1
2019-02-02,"Wigan","QPR","H",2,1,2.4,3.3,3.3,"Championship",2019,0,1
2019-02-02,"Birmingham","Nott'm Forest","H",2,0,2.37,3.2,3.4,"Championship",2019,0,1
2019-02-02,"Brentford","Blackburn","H",5,2,2,3.6,4,"Championship",2019,0,1
2019-02-02,"Reading","Aston Villa","D",0,0,3.3,3.6,2.25,"Championship",2019,0,1
2019-02-02,"Bristol City","Swansea","H",2,0,2.3,3.4,3.4,"Championship",2019,0,1
2019-02-02,"Sheffield United","Bolton","H",2,0,1.28,5.5,15,"Championship",2019,0,1
2019-02-02,"Hull","Stoke","H",2,0,2.5,3.4,3,"Championship",2019,0,1
2019-02-02,"Cardiff","Bournemouth","H",2,0,3.3,3.6,2.25,"Premier League",2019,0,1
2019-02-02,"Chelsea","Huddersfield","H",5,0,1.25,6.5,14,"Premier League",2019,0,1
2019-02-02,"Crystal Palace","Fulham","H",2,0,2.1,3.5,3.8,"Premier League",2019,0,1
2019-02-02,"Everton","Wolves","A",1,3,2.62,3.4,2.87,"Premier League",2019,0,1
2019-02-02,"Brighton","Watford","D",0,0,2.6,3.3,3,"Premier League",2019,0,1
2019-02-02,"Burnley","Southampton","D",1,1,2.62,3.4,2.87,"Premier League",2019,0,1
2019-02-02,"Tottenham","Norrkoping","H",1,0,1.45,4.4,9,"Premier League",2019,0,1
2019-02-01,"Hannover","RB Leipzig","A",0,3,4.75,4,1.65,"Bundesliga",2019,0,1
2019-02-01,"Preston","Derby","D",0,0,2.3,3.5,3.25,"Championship",2019,0,1
2019-01-30,"Liverpool","Leicester","D",1,1,1.25,7,12,"Premier League",2019,0,1
2019-01-30,"Tottenham","Watford","H",2,1,1.61,4.1,6,"Premier League",2019,0,1
2019-01-30,"Southampton","Crystal Palace","D",1,1,2.5,3.4,3,"Premier League",2019,0,1
2019-01-30,"Bournemouth","Chelsea","H",4,0,5.75,4.4,1.6,"Premier League",2019,0,1
2019-01-29,"Bolton","Reading","D",1,1,3.1,3.1,2.62,"Championship",2019,0,1
2019-01-29,"Swansea","Birmingham","D",3,3,2.1,3.4,3.9,"Championship",2019,0,1
2019-01-29,"Man United","Burnley","D",2,2,1.28,6,12,"Premier League",2019,0,1
2019-01-29,"Norrkoping","Man City","H",2,1,19,8.5,1.16,"Premier League",2019,0,1
2019-01-29,"Fulham","Brighton","H",4,2,2.5,3.3,3.1,"Premier League",2019,0,1
2019-01-29,"Huddersfield","Everton","A",0,1,3.75,3.2,2.25,"Premier League",2019,0,1
2019-01-29,"Wolves","West Ham","H",3,0,2.05,3.5,3.9,"Premier League",2019,0,1
