Home,Away,AvgH,AvgD,AvgA,NrWinH,NrDrawH,NrLostH,NrWinA,NrDrawA,NrLostA,NrWinL5H,NrDrawL5H,NrLostL5H,NrWinL5A,NrDrawL5A,NrLostL5A
Brommapojkarna,Dalkurd,2.49,3.37,2.79,3,1,11,2,3,10,0,1,4,1,2,2
Kalmar,Goteborg,2.11,3.3,3.5,6,2,7,6,1,8,1,1,3,2,0,3
