Season,Date,MatchNr,Home,Away,AvgH,AvgD,AvgA,NrWinH,NrDrawH,NrLostH,NrWinA,NrDrawA,NrLostA,NrWinL5H,NrDrawL5H,NrLostL5H,NrWinL5A,NrDrawL5A,NrLostL5A,Model_ProbH,Model_ProbD,Model_ProbA,Bet_Model,Bet_Lul,Bet_Eric,Bet_Maki,Result
2018,2018-08-25,8,Swansea,Bristol City,2.25,3.4,3.15,2,2,0,1,2,1,2,2,1,1,2,2,0.4005793211,0.2080963651,0.3913243138,NA,1,12,12,NA
2018,2018-08-25,9,Bolton,Sheffield United,4.3,3.3,1.92,3,1,0,2,0,2,3,1,1,2,1,2,0.1912730949,0.224877857,0.5838490481,NA,x2,2,2,NA
2018,2018-08-25,10,Derby,Preston,2.4,3.15,3.05,2,0,2,1,1,2,3,0,2,2,1,2,0.7679746083,0.1545077959,0.0775175958,NA,1,1,1,NA
2018,2018-08-25,11,QPR,Wigan,2.8,3.35,2.45,0,0,4,2,1,1,1,0,4,2,1,2,0.2786720547,0.5725480565,0.1487798888,NA,x2,2,x,NA
2018,2018-08-25,12,Sheffield Weds,Ipswich,2.36,3.1,3.25,1,1,2,0,2,2,2,1,2,0,3,2,0.4658738366,0.4526025508,0.0815236125,NA,1x,X,1x,NA
2018,2018-08-25,13,Stoke,Hull,1.95,3.3,4.15,0,2,2,1,1,2,0,2,3,1,2,2,0.7954660422,0.1185386417,0.0859953162,NA,1,1,1,NA
2018,2018-09-01,1,Man City,Newcastle,1.12,11,25,2,1,0,0,1,2,4,1,0,0,1,4,0.9795365469,0.001177439,0.0192860141,,,,1,
2018,2018-09-01,2,Brighton,Fulham,2.34,3.4,3.25,1,0,2,1,0,2,2,0,3,2,1,2,0.61159284,0.2525340885,0.1358730714,,,,1,
2018,2018-09-01,3,Chelsea,Bournemouth,1.29,6.4,11,3,0,0,2,1,0,3,1,1,4,1,0,0.9875770467,0.0066517436,0.0057712097,,,,1,
2018,2018-09-01,4,Crystal Palace,Southampton,2.01,3.5,4.2,1,0,2,0,1,2,3,0,2,1,1,3,0.5822022433,0.1135163444,0.3042814123,,,,12,
2018,2018-09-01,5,Everton,Huddersfield,1.54,4.2,7.4,1,2,0,0,1,2,2,2,1,1,1,3,0.9151244512,0.0476825559,0.037192993,,,,1,
2018,2018-09-01,6,West Ham,Wolves,2.6,3.4,2.85,0,0,3,0,2,1,2,0,3,2,2,1,0.3173553719,0.2363636364,0.4462809917,,,,12,
2018,2018-09-01,7,Birmingham,QPR,2.03,3.45,3.65,0,3,2,1,0,4,0,2,3,3,0,2,0.3606368832,0.3421749392,0.2971881776,,,,1X,
2018,2018-09-01,8,Hull,Derby,2.7,3.3,2.6,1,1,3,3,0,2,1,1,3,4,0,1,0.4012825403,0.332316201,0.2664012587,,,,1X,
2018,2018-09-01,9,Millwall,Swansea,2.08,3.4,3.55,1,2,2,2,2,1,2,1,2,1,2,2,0.728633432,0.1521924309,0.119174137,,,,1,
2018,2018-09-01,10,Sheffield United,Aston Villa,2.36,3.25,3.1,3,0,2,2,3,0,3,1,1,1,3,1,0.2409518973,0.5301680362,0.2288800665,,,,X,
2018,2018-09-01,11,West Brom,Stoke,1.92,3.4,4.15,2,1,2,1,2,2,4,0,1,2,2,1,0.4782562803,0.2853071564,0.2364365632,,,,1,
2018,2018-09-01,12,AIK,Hacken,1.77,3.6,4.95,13,6,0,9,4,6,4,0,1,5,0,0,0.6893615374,0.267848503,0.0427899596,,,,1,
2018,2018-09-01,13,Orebro,Ostersunds,2.8,3.45,2.45,6,5,8,10,3,6,2,0,3,3,0,2,0.1706959124,0.538163119,0.2911409686,,,,X2,
